Season,Tide,Variables,Means,variations,stdev
FALL,High,NN (umol/L),0.2665,0.041787435897435894,0.03232160109641689
FALL,High,pH,8.14795,0.0017346641025640954,0.006585332380685305
FALL,High,Phosphate (umol/L),0.10975,4.178846153846153e-4,0.0032321997748616005
FALL,High,Silicate,3.103,1.553611282051282,0.19707938007635917
FALL,High,Silicate (umol/L),34.5659580685,0.0036684598729359785,0.009576611969971397
FALL,High,TA (umol/Kg),2245.0841754,291.46500470969005,2.699374949454457
FALL,High,Temp (C),27.61199497375,0.1703978190018209,0.06526825779079384
FALL,Low,NN (umol/L),2.015,6.506902564102564,0.4033268700478113
FALL,Low,pH,8.060649999999999,0.0034898743589743585,0.009340602709373681
FALL,Low,Phosphate (umol/L),0.16475,0.011194807692307691,0.016729321334342653
FALL,Low,Silicate,18.84575,580.467599423077,3.809421213987359
FALL,Low,Silicate (umol/L),33.89365878925,1.095335458850879,0.16547926296449345
FALL,Low,TA (umol/Kg),2260.325808275,1100.8771264085242,5.246134592270113
FALL,Low,Temp (C),26.537438673,0.4859291027188821,0.11021899821705898
SPRING,High,NN (umol/L),0.40439024390243905,0.13970524390243902,0.0583733241577882
SPRING,High,pH,8.162756097560976,0.009321189024390225,0.015077999660618622
SPRING,High,Phosphate (umol/L),0.14219512195121953,9.225609756097562e-4,0.004743573253360177
SPRING,High,Silicate,5.532926829268293,25.284986219512195,0.7853069342389077
SPRING,High,Silicate (umol/L),34.463642307560974,0.0392515877152417,0.0309411667189963
SPRING,High,TA (umol/Kg),2250.4955920487805,1037.4805688246327,5.030348309776766
SPRING,High,Temp (C),25.724491070243904,0.23019778134692007,0.07493050135193084
SPRING,Low,NN (umol/L),4.302972972972973,68.6310936936937,1.3619450885237203
SPRING,Low,pH,8.023189189189189,0.005724657657657651,0.012438668627871335
SPRING,Low,Phosphate (umol/L),0.25,0.046283333333333336,0.03536807742726343
SPRING,Low,Silicate,38.07081081081081,2449.2989132132134,8.136170347570253
SPRING,Low,Silicate (umol/L),33.061626403783784,4.5225033669043055,0.3496138165564161
SPRING,Low,TA (umol/Kg),2265.883197810811,3948.3102301856165,10.330105870818265
SPRING,Low,Temp (C),24.213987407837838,0.25133704438218185,0.08241900928432908
